bbl,address,building_area_sqft,year_built,owner_name,owner_type,latitude,longitude,landuse,community_district,council_district,districts,in_hells_kitchen,in_community_board_4,in_council_district_3,zola_url,has_financing_document,document_type,document_category,document_date,document_amount,document_crfn,document_party,document_id,property_type,street_address
1005800065.00000000,171 VARICK STREET,137975,1926,"THE GEORGIAN PRESS, INC.",,40.7274026,-74.0059747,5,102,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/580/65,True,MTGE,Mortgage,,4200000,,Document ID: FT_1630007286963,FT_1630007286963,PA,171 VARICK STREET
1005190070.00000000,180 VARICK STREET,329116,1929,180 VARICK LLC,,40.7274823,-74.0051377,5,102,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/519/70,False,,Unknown,,,,,,,180 VARICK STREET
1005810001.00000000,201 VARICK STREET,930680,1928,US GENERAL SERVICES ADMINISTRATIONN,X,40.7283303,-74.0062743,5,102,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/581/1,False,,Unknown,,,,,,,201 VARICK STREET
1005050036.00000000,161 AVENUE OF THE AMERICAS,615107,1926,OSS 2016 LLC,,40.7259040,-74.0045784,5,102,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/505/36,True,MTGE,Mortgage,,1450470.41,,Document ID: FT_1810000376081,FT_1810000376081,PA,161 AVENUE OF THE AMERICAS
1005050001.00000000,150 VARICK STREET,214110,1926,"W. & M. OPERATING, L.L.C.",,40.7260138,-74.0053216,5,102,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/505/1,True,MTGE,Mortgage,,181610,,Document ID: FT_1200000256920,FT_1200000256920,PA,150 VARICK STREET
1005800022.00000000,157 VARICK STREET,164791,1922,"SM I MMS, L.L.C.",,40.7266972,-74.0061190,6,102,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/580/22,True,MTGE,Mortgage,,250000,,Document ID: FT_1890000191989,FT_1890000191989,PA,157 VARICK STREET
1005960002.00000000,532 WASHINGTON STREET,1009855,1933,550 WASHINGTON OWNER (DE) LLC,,40.7281846,-74.0100410,5,102,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/596/2,False,,Unknown,,,,,,,532 WASHINGTON STREET
1005970062.00000000,323 HUDSON STREET,193813,1967,"DWF VI 325 HUDSON, LLC",,40.7268728,-74.0079049,5,102,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/597/62,True,MTGE,Mortgage,,1,,Document ID: FT_1160004985616,FT_1160004985616,PA,323 HUDSON STREET
1005980058.00000000,341 HUDSON STREET,797477,1931,561 HH LLC,,40.7277456,-74.0078581,5,102,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/598/58,True,DEED,Deed,2019-04-16T00:00:00.000,10.00,2019000155934,CRFN: 2019000155934,2019041801282006,CR,341 HUDSON STREET
1005990064.00000000,375 HUDSON STREET,1076164,1987,NEW REMAINDERMAN 375 HUDSON LLC,,40.7284812,-74.0079232,5,102,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/599/64,True,MTGE,Mortgage,,20000000,,Document ID: FT_1900000158790,FT_1900000158790,PA,375 HUDSON STREET
1005970055.00000000,333 HUDSON STREET,101290,1925,33 HUDSON STREET,,40.7271335,-74.0076885,5,102,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/597/55,True,MTGE,Mortgage,,553205.74,,Document ID: FT_1500005599350,FT_1500005599350,PA,333 HUDSON STREET
1005800039.00000000,350 HUDSON STREET,259427,1930,NEW REMAINDERMAN 350 HUDSON LLC,,40.7276468,-74.0068443,5,102,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/580/39,True,DEED,Deed,2019-04-16T00:00:00.000,10.00,2019000155935,CRFN: 2019000155935,2019041801282007,CR,350 HUDSON STREET
1007310001.00000000,460 WEST 34 STREET,538520,1927,601W TENTH OWNER LLC,,40.7540516,-73.9989785,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/731/1,True,MTGE,Mortgage,,10054094.66,,Document ID: FT_1700008408870,FT_1700008408870,PA,460 WEST 34 STREET
1007290163.00000000,424 WEST 33 STREET,178460,1913,BOP NW LOFT LLC,,40.7530442,-73.9981412,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/729/163,True,MTGE,Mortgage,,17000000,,Document ID: FT_1860007499486,FT_1860007499486,PA,424 WEST 33 STREET
1007540078.00000000,362 9 AVENUE,338962,1931,TEACHERS INSURANCE AND ANNUITY ASSOC. OF  AMERICA,,40.7510872,-73.9973256,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/754/78,True,MTGE,Mortgage,,3750000,,Document ID: FT_1910000143591,FT_1910000143591,PA,362 9 AVENUE
1007570054.00000000,330 WEST 34 STREET,646464,1926,330 WEST 34TH OWNER LLC,,40.7525968,-73.9955064,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/757/54,True,MTGE,Mortgage,,34825000,,Document ID: FT_1890000326989,FT_1890000326989,PA,330 WEST 34 STREET
1007680050.00000000,220 WEST 19 STREET,115433,1910,RED CIRCLE N.Y. CORP,,40.7418594,-73.9985204,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/768/50,True,MTGE,Mortgage,,2850000,,Document ID: FT_1850000239785,FT_1850000239785,PA,220 WEST 19 STREET
1007950028.00000000,111 WEST 19 STREET,165513,1901,19TH STREET OWNER LLC,,40.7410770,-73.9951969,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/795/28,True,MTGE,Mortgage,,1100000,,Document ID: FT_1990000163699,FT_1990000163699,PA,111 WEST 19 STREET
1008000025.00000000,119 WEST 24 STREET,130876,1913,"119 WEST 24TH STREET PROPERTIES, LLC",,40.7441922,-73.9932009,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/800/25,True,MTGE,Mortgage,,618975,,Document ID: FT_1840007223084,FT_1840007223084,PA,119 WEST 24 STREET
1008010024.00000000,119 WEST 25 STREET,128947,1906,"AFIAA 125 WEST 25TH STREET, LLC",,40.7448043,-73.9927606,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/801/24,True,DEED,Deed,2016-12-16T00:00:00.000,150000000,2016000454749,CRFN: 2016000454749,2016122001247001,CR,119 WEST 25 STREET
1008010001.00000000,275 7 AVENUE,548680,1928,275 SEVENTH AVENUE BUILDING LLC,,40.7455454,-73.9941608,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/801/1,True,MTGE,Mortgage,,14660000,,Document ID: FT_1720006251472,FT_1720006251472,PA,275 7 AVENUE
1008037502.00000000,301 7 AVENUE,119248,1920,"NEWMARK,KNIGHT & FRANK",,40.7466433,-73.9933775,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/803/7502,False,,Unknown,,,,,,,301 7 AVENUE
1008020075.00000000,158 WEST 27 STREET,108000,1913,"AFIAA 158 WEST 27TH STREET, LLC",,40.7461794,-73.9933379,5,105,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/802/75,True,MTGE,Mortgage,2019-10-24T00:00:00.000,50000000.00,2019000354140,CRFN: 2019000354140,2019102500832003,CR,158 WEST 27 STREET
1007850037.00000000,462 7 AVENUE,189734,1925,S I K ASSOCIATES,,40.7519624,-73.9903344,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/785/37,True,MTGE,Mortgage,,1987973.57,,Document ID: FT_1650000307565,FT_1650000307565,PA,462 7 AVENUE
1008177502.00000000,100 5 AVENUE,250671,1906,UNAVAILABLE OWNER,,40.7370504,-73.9933135,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/817/7502,False,,Unknown,,,,,,,100 5 AVENUE
1008227507.00000000,160 FIFTH AVENUE,111163,1900,RFL 160 FIFTH LLC,,40.7402396,-73.9910289,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/822/7507,False,,Unknown,,,,,,,160 FIFTH AVENUE
1008207505.00000000,620 AVENUE OF THE AMER,684465,1900,UNAVAILABLE OWNER,,40.7397622,-73.9939051,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/820/7505,False,,Unknown,,,,,,,620 AVENUE OF THE AMER
1008187501.00000000,590 AVENUE OF THE AMER,144461,1988,UNAVAILABLE OWNER,,40.7389004,-73.9951826,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/818/7501,False,,Unknown,,,,,,,590 AVENUE OF THE AMER
1008237506.00000000,162 5 AVENUE,114503,1930,UNAVAILABLE OWNER,,40.7405855,-73.9908088,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/823/7506,False,,Unknown,,,,,,,162 5 AVENUE
1008307502.00000000,250 FIFTH AVENUE,118664,1908,COSMIC REALTY PARTNERS LLC,,40.7450207,-73.9876071,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/830/7502,False,,Unknown,,,,,,,250 FIFTH AVENUE
1007407502.00000000,346 WEST 17 STREET,183484,1966,UNAVAILABLE OWNER,,40.7422930,-74.0034283,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/740/7502,False,,Unknown,,,,,,,346 WEST 17 STREET
1007187502.00000000,180 10 AVENUE,106206,1931,UNAVAILABLE OWNER,,40.7459709,-74.0048973,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/718/7502,False,,Unknown,,,,,,,180 10 AVENUE
1008087501.00000000,401 7 AVENUE,152460,1917,GRAPSTEIN,,40.7496925,-73.9905585,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/808/7501,False,,Unknown,,,,,,,401 7 AVENUE
1008097501.00000000,132 WEST 32 STREET,114415,1960,UNAVAILABLE OWNER,,40.7499697,-73.9896778,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/809/7501,False,,Unknown,,,,,,,132 WEST 32 STREET
1008127501.00000000,481 7 AVENUE,230246,1906,UNAVAILABLE OWNER,,40.7522807,-73.9891361,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/812/7501,False,,Unknown,,,,,,,481 7 AVENUE
1008117502.00000000,1333 BROADWAY,276762,1915,"ESRT 1333 BROADWAY, L.L.C.",,40.7511690,-73.9881365,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/811/7502,False,,Unknown,,,,,,,1333 BROADWAY
1008117501.00000000,469 7 AVENUE,193534,1921,UNAVAILABLE OWNER,,40.7519349,-73.9894501,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/811/7501,False,,Unknown,,,,,,,469 7 AVENUE
1007887501.00000000,214 WEST 39 STREET,172608,1910,UNAVAILABLE OWNER,,40.7543201,-73.9893631,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/788/7501,False,,Unknown,,,,,,,214 WEST 39 STREET
1010127502.00000000,200 WEST 41 STREET,150338,1926,UNAVAILABLE OWNER,,40.7553437,-73.9878614,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/1012/7502,False,,Unknown,,,,,,,200 WEST 41 STREET
1010167501.00000000,700 8 AVENUE,487156,1961,UNAVAILABLE OWNER,,40.7587088,-73.9883084,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/1016/7501,False,,Unknown,,,,,,,700 8 AVENUE
1010347501.00000000,311 WEST 43RD ST,150110,1925,"DWF V 311 W 43RD, LLC",,40.7584482,-73.9899978,5,104,3,"Hell's Kitchen, Community Board 4, Council District 3",True,True,True,https://zola.planning.nyc.gov/l/lot/1/1034/7501,False,,Unknown,,,,,,,311 WEST 43RD ST
1010207501.00000000,790 8 AVENUE,238667,1962,UNAVAILABLE OWNER,,40.7612283,-73.9865103,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/1020/7501,False,,Unknown,,,,,,,790 8 AVENUE
1010197502.00000000,1585 BROADWAY,1028336,1987,MS FINANCING INC,,40.7599766,-73.9855071,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/1019/7502,False,,Unknown,,,,,,,1585 BROADWAY
1010197501.00000000,2 TIMES SQUARE,229188,1990,SHERWOOD 48 ASSOC                  JEFFR EY KATZ,,40.7596718,-73.9846588,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/1019/7501,False,,Unknown,,,,,,,2 TIMES SQUARE
1010477502.00000000,959 8 AVENUE,703796,1928,UNAVAILABLE OWNER,,40.7665582,-73.9836140,5,104,6,"Hell's Kitchen, Community Board 4",True,True,False,https://zola.planning.nyc.gov/l/lot/1/1047/7502,False,,Unknown,,,,,,,959 8 AVENUE
1010487502.00000000,353 WEST 57 STREET,461930,1929,HENRY HUDSON HOLDINGS CORP,,40.7680597,-73.9849818,5,104,6,"Hell's Kitchen, Community Board 4",True,True,False,https://zola.planning.nyc.gov/l/lot/1/1048/7502,False,,Unknown,,,,,,,353 WEST 57 STREET
1006887501.00000000,99 10 AVENUE,708000,1917,NAME NOT ON FILE,,40.7440549,-74.0076940,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/688/7501,False,,Unknown,,,,,,,99 10 AVENUE
1006937503.00000000,510 WEST 22ND STREET,129231,1920,"510 WEST 22ND STREET OWNER, LLC",,40.7470194,-74.0056986,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/693/7503,False,,Unknown,,,,,,,510 WEST 22ND STREET
1010777502.00000000,514 WEST 49TH STREET,102164,1920,THE AMERICAN NATIONA,X,40.7644183,-73.9936934,5,104,3,"Hell's Kitchen, Community Board 4, Council District 3",True,True,True,https://zola.planning.nyc.gov/l/lot/1/1077/7502,False,,Unknown,,,,,,,514 WEST 49TH STREET
1011027501.00000000,787 11TH AVE,369656,1929,"GEORGETOWN ELEVENTH AVENUE OWNERS, LLC",,40.7689086,-73.9930901,5,104,6,"Hell's Kitchen, Community Board 4",True,True,False,https://zola.planning.nyc.gov/l/lot/1/1102/7501,False,,Unknown,,,,,,,787 11TH AVE
